OBJECTID,type,subtype,x,y,TAZ
529,6, Clinics,46.858787,24.5540427,404
530,6, Clinics,46.8171495,24.6727536,374
531,6, Hospitals,46.8435089,24.6914508,982
532,3, Shopping and Services,46.7235764,24.689926,1119
533,3, Shopping and Services,46.7023165,24.6799212,110
534,6, Other Educational Facilities,46.8626711,24.7837424,367
535,6, Other Educational Facilities,46.5938868,24.5804792,1376
536,4, Entertainment,46.6763906,24.5851833,1411
537,2, Restaurants,46.6853789,24.5977451,168
538,2, Restaurants,46.7059841,24.603114,330
539,2, Restaurants,46.7565933,24.7434852,912
540,6, Private Schools,46.7520013,24.7635506,888
541,6, Other Educational Facilities,46.7909678,24.7024642,354
542,6, Government Schools,46.7668375,24.5875515,1324
543,6, Government Schools,46.6473717,24.5950361,1112
544,2, Restaurants,46.7477804,24.7622547,889
545,6, Medical Centers,46.6848876,24.7041317,847
546,6, Training Centers,46.6639521,24.7468698,747
547,6, Government Schools,46.669145,24.6549736,1031
548,6, Government Schools,46.6826855,24.6566147,174
549,3, Shopping and Services,46.6703053,24.7394748,739
550,2, Restaurants,46.7856908,24.6934235,354
551,2, Restaurants,46.7965554,24.6905544,940
552,2, Restaurants,46.7963498,24.6908306,940
553,6, Private Schools,46.6969854,24.706078,850
554,6, Private Schools,46.6941943,24.7024032,89
555,2, Restaurants,46.6982125,24.7115671,852
556,2, Restaurants,46.698981,24.7093229,90
557,2, Restaurants,46.6953367,24.7104177,851
558,4, Entertainment,46.6309392,24.6780407,46
559,2, Restaurants,46.646083,24.6997594,27
560,2, Restaurants,46.6812899,24.6868631,872
561,1, Hotels and Furnished Apartments,46.7465375,24.7482389,132
562,2, Restaurants,46.6741777,24.7072537,32
563,3, Shopping and Services,46.772196,24.693056,262
564,3, Shopping and Services,46.7621304,24.6895625,261
565,6, Medical Centers,46.6665302,24.7017673,31
566,6, Clinics,46.6156939,24.6011607,1077
567,6, Clinics,46.713405,24.5528958,387
568,5, Factories,46.8107693,24.5866891,402
569,2, Restaurants,46.7625143,24.7480531,137
570,2, Restaurants,46.7707789,24.7537207,134
